Chapter,SubChapter,Number,English,Thai,Transliteration,Mnemonic,Bak,Volgnummer,First_Rehearse,Next_Rehearse_date,Nr_Of_Rehearse,Nr_Of_Fallback,Nr_prev_ease,Nr_prev_interval,Fails
Everyday Language,dialog,0,We are,,phwk reHa chLa,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,1,Late,, saRai laHew (leo).,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,2,Let us,,Bpai,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,3,To go,, gan teLr,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,4,We’re late.,, Rao saRai laHew (leo),,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,5,Let’s go!,, Bpai gan teLr!,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,6,We’re late. Let’s go!,,Rao saRai laHew (leo). Bpai gan teLr!,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,7,Wait!,,DiFeow-goLn,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,8,Glasses,,WaRen-dtaa,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,9,My*male,,PoFm,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,10,My*femal,,Di chan,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,11,Where,,TeRe naFi,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,12,Are,,yoFo, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,13,Where are my ..,,KoFng poFm yoLo teRe nai ..,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,14,They (things) ,,Man,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,15,on,,bon,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,16,the desk,,dtoH,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,17,under,,khHang laLng, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,18,Nitaya waar is het water,,Nitaya naam de teRe nai,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,19,And,, LaHew,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,20,Portemonnee,,GraL-bpaRo saL-dtaang,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,21,Where is it,,koFng laR?,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,22,Mijn,,poFm,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,23,And my whallet? (where is it),And my whallet? (where is it), LaHew GraL-bpaRo saL-dtaang koFng poFm laR?,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,24,Bij Jou,,Kab Kun,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,25,They are on the desk,,Man yoLo bon dtoH,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,26,They are on the shelve,They are on the shelve,Man yoLo bon chaHn-waange,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,27,OK,,Oh-kay, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,28,Im ready,, poFm laew,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,29,Again?!,,ELek-laHew reFu?!,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,30,Charger,Charger,,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,31,Where,,tee nai,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,32,With,,yoLo, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,33,my,,koFng poFm,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,34,Where is my charger?,Where is my charger?,,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,35,Handbag,,GraL-bpaFo ,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,36,Them,,Man,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,37,WIth,,YoLo, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,38,In,,TeFu,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,39,My,,KoFng chan or KoFng PoFm,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,40,IT IS IN MY HANDBAG,,man yoLo nai graL-bpaFu teFu koFng chaFn,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,41,Really,,Jing reFu?,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,42,Yes,,ChaRi,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,43,No,,Mai,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,44,Let’s go,,bpai gan teLr,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,45,Laptop,,LaHep-toLp,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,46,The,,LaR,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,47,And,,laHew,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,48,I,, ChaFn,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,49,With,,yoLo,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,50,Have,,Gap,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,51,Them,,Man,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,52,Now,,Dton neHe,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,53,Are ..  Ready,,Prom, ,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,54,or not,or not,,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,55,Are ..  Ready or not,Are ..  Ready or not,,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,56,Are yoú ready now?,Are yoú ready now?,,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,57,Yes,,Chai ,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,58,Sorry,,Kor-toht,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,59,So sorry,,Kor-toht tee,,0,0,'0','0',0,0,0.0,0,0
Everyday Language,dialog,60,I am so sorry,,Chan kor-toht tee,,0,0,'0','0',0,0,0.0,0,0
